date,alpha,beta_gdp_growth_stdev,beta_inflation_stdev,beta_debt_gdp_stdev,beta_current_account_stdev,beta_policy_uncertainty_stdev,beta_bank_nexus_stdev,beta_bid_ask_stdev,gamma,lambda_gdp_growth_stdev,lambda_inflation_stdev,lambda_debt_gdp_stdev,lambda_current_account_stdev,lambda_policy_uncertainty_stdev,lambda_bank_nexus_stdev,lambda_bid_ask_stdev,MS_actual,MS_fitted,MS_tilde,MS_tilde_se,MS_tilde_lo,MS_tilde_hi,non_fundamental_component,Rsq,AdjRsq
2011-11-01,-4.586778715943982,0.5965906529992399,0.8773737701007513,0.2975802564263101,-0.5714237712481272,0.0014857811263588757,-5.431259640579939,191.50039860846812,0.0025668464153599953,-0.004114404168852819,0.03877086561858388,-0.004859238811690116,0.05720279794717697,1.5592776209295416e-4,12.558079570870484,-5.48598876914594,4.972237694623266,4.920694785359367,6.172072369845859,0.35745686732565457,5.45715863519455,6.886986104497168,-1.2513775844864918,0.9781293721306467,0.9706734762660943
2011-12-01,-4.858811993711871,0.5621664079957933,0.8865100788685314,0.311116352861173,-0.5742233659689077,9.551741660492389e-4,-4.087070159039239,192.25743154888823,8.786505531381926e-4,-0.008942809432237134,0.01080383964083598,-0.005762346255918098,0.04956496861062737,2.2719599804460393e-4,11.654375155804928,-4.62560909513219,5.849094385673654,5.248560406080974,6.000310565302353,0.36941725953449756,5.2614760462333585,6.739145084371348,-0.7517501592213796,0.9782626288921997,0.970852161469086
2012-01-01,-3.858449119372436,0.8618556409194138,0.600132362111934,0.33760047672211563,-0.683404926912411,-0.001476145622077176,-46.42826754903797,232.11554461648524,-0.009240238638752915,-0.02981621634934505,-0.0032212461601535845,-0.007704364118316271,0.049192866733904224,5.285538590332307e-4,12.42184088192459,-4.200360742519252,7.130752412371188,6.203556537726383,7.055618318849518,0.4681576233657505,6.119303072118017,7.99193356558102,-0.852061781123135,0.9754079154347376,0.9670242502420345
2012-02-01,-2.6476394897633484,1.0264117359800489,-0.28314019990113776,0.33537734083710985,-0.7622541882633238,-0.0020937281961293506,-56.219459526183115,313.47914927461863,-0.02275764600116919,-0.0363548950392149,0.027412553723721526,-0.0077701872933669085,0.0597454683213158,7.867714926763422e-4,14.238528026702463,-9.488237532373253,8.032954497061638,6.74103059272362,7.635438176572615,0.4967880000827656,6.641862176407084,8.629014176738146,-0.8944075838489951,0.9689006904190566,0.9582986530619167
2012-03-01,-6.282038890022105,0.46653386407040276,0.35102041118435123,0.34294241282781146,-0.557267252005638,0.004304335093173201,42.1476487699381,138.0006520984791,-0.0026285645597367673,-0.04262012098050608,-0.044233226418777055,-0.009509204829441316,0.015042582905095287,1.2589452526014225e-4,3.9716400373484575,8.251608810623756,5.281086287997114,6.322285772823493,6.372376664070791,0.6064004294311515,5.159575805208489,7.585177522933094,-0.05009089124729815,0.9558370893696564,0.9407815516547665
2012-04-01,-7.059417051597633,0.008032200956877164,0.2943384253408363,0.3545146343551419,-0.5535744253869069,0.004095185653354284,83.49364676943607,101.59380640199218,0.0033969475566587052,-0.04305828834859851,-0.068659525651244,-0.009214867593168335,0.010050382568331025,6.320046895936443e-5,4.138841514764615,3.6876770719381975,5.852109864704868,6.6313700346810265,6.656079947551673,0.9301380069245841,4.795803933702505,8.51635596140084,-0.024709912870646278,0.9518230447445781,0.9353990827256843
2012-05-01,-7.105734252796033,0.023352526700363665,0.16499073764477712,0.35339261480122425,-0.5506092529107393,0.004461330424743317,87.01308022018492,96.23092086819422,0.004928854511330645,-0.04273979482074589,-0.05579450705948546,-0.00939987488592565,0.00833393255796193,6.551810936847127e-6,3.1715732014553626,5.983531459185467,7.383640136891899,7.257081196125368,6.7990562745553,0.9661898472730391,4.866676580009221,8.731435969101378,0.45802492157006824,0.9561485176854536,0.9411991487145855
2012-06-01,-6.174118133896623,-0.15406799628936932,0.9140126750554042,0.4058229451243779,-0.7469689280548873,0.004568293627408663,26.68173948540872,67.7586578856177,0.0063114168787852965,-0.042464985354146,-0.10803740505801633,-0.012735234885677602,0.00619537941458411,1.755220882696599e-4,4.397943118505643,8.662007411405634,7.6408606242078925,6.654531175499044,6.55720456892561,0.8755290022940315,4.806146564337547,8.308262573513673,0.09732660657343395,0.9555641975166163,0.9404156284881899
2012-07-01,-4.927702928626238,-0.20584404009892468,1.6897992377150166,0.4524110021012344,-0.9432729336929631,0.0021980573176876876,-38.922809053377854,50.065724997094286,0.0022535163355948706,-0.04018714672255731,-0.15544152097676597,-0.015190722162770738,0.015193767448373597,3.415114461323298e-4,8.010039774724975,8.659262809758788,7.125071744249346,6.841878071304018,7.0219989065700466,0.7468342354949558,5.528330435580135,8.515667377559957,-0.1801208352660284,0.9576756619391632,0.9432469103275143
2012-08-01,-4.982702439685566,-0.22828335795890536,1.6787360445601751,0.4515025526357251,-0.929383220278257,0.0024691368957414977,-35.94135543419997,50.5269072395828,2.1591204090761626e-4,-0.04133212129068495,-0.15670218633785046,-0.01508765449532394,0.013263549434152082,3.1151201101960456e-4,7.684438974753217,8.578608397452346,6.695391780305553,6.707889836553616,7.005792858290484,0.7031573654480647,5.599478127394354,8.412107589186613,-0.2979030217368672,0.9597222478400774,0.9459911959673766
