date,smp_mn,pspp_mn,pepp_mn,total_sovereign_mn,any_active
2012-08-01,-2500.0,0.0,0.0,-2500.0,0
2012-09-01,0.0,0.0,0.0,0.0,0
2012-10-01,0.0,0.0,0.0,0.0,0
2012-11-01,0.0,0.0,0.0,0.0,0
2012-12-01,0.0,0.0,0.0,0.0,0
2013-01-01,0.0,0.0,0.0,0.0,0
2013-02-01,0.0,0.0,0.0,0.0,0
2013-03-01,0.0,0.0,0.0,0.0,0
2013-04-01,0.0,0.0,0.0,0.0,0
2013-05-01,0.0,0.0,0.0,0.0,0
2013-06-01,0.0,0.0,0.0,0.0,0
2013-07-01,0.0,0.0,0.0,0.0,0
2013-08-01,0.0,0.0,0.0,0.0,0
2013-09-01,0.0,0.0,0.0,0.0,0
2013-10-01,0.0,0.0,0.0,0.0,0
2013-11-01,0.0,0.0,0.0,0.0,0
2013-12-01,0.0,0.0,0.0,0.0,0
2014-01-01,0.0,0.0,0.0,0.0,0
2014-02-01,0.0,0.0,0.0,0.0,0
2014-03-01,0.0,0.0,0.0,0.0,0
2014-04-01,0.0,0.0,0.0,0.0,0
2014-05-01,0.0,0.0,0.0,0.0,0
2014-06-01,0.0,0.0,0.0,0.0,0
2014-07-01,0.0,0.0,0.0,0.0,0
2014-08-01,0.0,0.0,0.0,0.0,0
2014-09-01,0.0,0.0,0.0,0.0,0
2014-10-01,0.0,0.0,0.0,0.0,0
2014-11-01,0.0,0.0,0.0,0.0,0
2014-12-01,0.0,0.0,0.0,0.0,0
2015-01-01,0.0,0.0,0.0,0.0,0
2015-02-01,0.0,0.0,0.0,0.0,0
2015-03-01,0.0,47383.0,0.0,47383.0,1
2015-04-01,0.0,47701.0,0.0,47701.0,1
2015-05-01,0.0,51622.0,0.0,51622.0,1
2015-06-01,0.0,51442.0,0.0,51442.0,1
2015-07-01,0.0,51359.0,0.0,51359.0,1
2015-08-01,0.0,42826.0,0.0,42826.0,1
2015-09-01,0.0,51008.0,0.0,51008.0,1
2015-10-01,0.0,52175.0,0.0,52175.0,1
2015-11-01,0.0,55105.0,0.0,55105.0,1
2015-12-01,0.0,44309.0,0.0,44309.0,1
2016-01-01,0.0,52956.0,0.0,52956.0,1
2016-02-01,0.0,53358.0,0.0,53358.0,1
2016-03-01,0.0,53059.0,0.0,53059.0,1
2016-04-01,0.0,78499.0,0.0,78499.0,1
2016-05-01,0.0,79673.0,0.0,79673.0,1
2016-06-01,0.0,72072.0,0.0,72072.0,1
2016-07-01,0.0,69650.0,0.0,69650.0,1
