vintage,vintage_year,vintage_month,forecast_year,iso3,country,subject_code,subject_descriptor,units,value
1993-Apr,1993,Apr,1994,IRL,Ireland,BCA_GDP_BP6,Current account balance,Percent of GDP,6.3993294063866974
1993-Apr,1993,Apr,1994,ITA,Italy,BCA_GDP_BP6,Current account balance,Percent of GDP,-1.3461893855626368
1993-Apr,1993,Apr,1994,LUX,Luxembourg,BCA_GDP_BP6,Current account balance,Percent of GDP,0.0
1993-Apr,1993,Apr,1994,NLD,Netherlands,BCA_GDP_BP6,Current account balance,Percent of GDP,3.345015882653126
1993-Apr,1993,Apr,1994,PRT,Portugal,BCA_GDP_BP6,Current account balance,Percent of GDP,-1.6069681500228754
1993-Oct,1993,Oct,1994,AUT,Austria,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.8403436772200084
1993-Oct,1993,Oct,1994,BEL,Belgium,BCA_GDP_BP6,Current account balance,Percent of GDP,2.0267530298149237
1993-Oct,1993,Oct,1994,DEU,Germany,BCA_GDP_BP6,Current account balance,Percent of GDP,-1.5175739678371567
1993-Oct,1993,Oct,1994,ESP,Spain,BCA_GDP_BP6,Current account balance,Percent of GDP,-1.4324495516582252
1993-Oct,1993,Oct,1994,FIN,Finland,BCA_GDP_BP6,Current account balance,Percent of GDP,-1.2784663472394402
1993-Oct,1993,Oct,1994,FRA,France,BCA_GDP_BP6,Current account balance,Percent of GDP,0.25647667065917984
1993-Oct,1993,Oct,1994,GRC,Greece,BCA_GDP_BP6,Current account balance,Percent of GDP,-2.6637048037670605
1993-Oct,1993,Oct,1994,IRL,Ireland,BCA_GDP_BP6,Current account balance,Percent of GDP,7.30415815470428
1993-Oct,1993,Oct,1994,ITA,Italy,BCA_GDP_BP6,Current account balance,Percent of GDP,-1.2622102652609288
1993-Oct,1993,Oct,1994,LUX,Luxembourg,BCA_GDP_BP6,Current account balance,Percent of GDP,0.0
1993-Oct,1993,Oct,1994,NLD,Netherlands,BCA_GDP_BP6,Current account balance,Percent of GDP,2.944118625769457
1993-Oct,1993,Oct,1994,PRT,Portugal,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.012746516370929162
1994-Apr,1994,Apr,1995,AUT,Austria,BCA_GDP_BP6,Current account balance,Percent of GDP,0.22996802393767812
1994-Apr,1994,Apr,1995,BEL,Belgium,BCA_GDP_BP6,Current account balance,Percent of GDP,1.9757568093886468
1994-Apr,1994,Apr,1995,DEU,Germany,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.5315468565725581
1994-Apr,1994,Apr,1995,ESP,Spain,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.671584484294972
1994-Apr,1994,Apr,1995,FIN,Finland,BCA_GDP_BP6,Current account balance,Percent of GDP,3.060407197203367
1994-Apr,1994,Apr,1995,FRA,France,BCA_GDP_BP6,Current account balance,Percent of GDP,1.0151660561918099
1994-Apr,1994,Apr,1995,GRC,Greece,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.9055272466359932
1994-Apr,1994,Apr,1995,IRL,Ireland,BCA_GDP_BP6,Current account balance,Percent of GDP,6.228398692807851
1994-Apr,1994,Apr,1995,ITA,Italy,BCA_GDP_BP6,Current account balance,Percent of GDP,3.0500820311160557
1994-Apr,1994,Apr,1995,LUX,Luxembourg,BCA_GDP_BP6,Current account balance,Percent of GDP,0.0
1994-Apr,1994,Apr,1995,NLD,Netherlands,BCA_GDP_BP6,Current account balance,Percent of GDP,3.493679827277149
1994-Apr,1994,Apr,1995,PRT,Portugal,BCA_GDP_BP6,Current account balance,Percent of GDP,-1.3846923242946365
1994-Oct,1994,Oct,1995,AUT,Austria,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.6250566520603353
1994-Oct,1994,Oct,1995,BEL,Belgium,BCA_GDP_BP6,Current account balance,Percent of GDP,4.333326164369419
1994-Oct,1994,Oct,1995,DEU,Germany,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.6333462699373773
1994-Oct,1994,Oct,1995,ESP,Spain,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.143301620457629
1994-Oct,1994,Oct,1995,FIN,Finland,BCA_GDP_BP6,Current account balance,Percent of GDP,2.314207191444495
1994-Oct,1994,Oct,1995,FRA,France,BCA_GDP_BP6,Current account balance,Percent of GDP,0.85931680350157
1994-Oct,1994,Oct,1995,GRC,Greece,BCA_GDP_BP6,Current account balance,Percent of GDP,-1.5771804551175352
1994-Oct,1994,Oct,1995,IRL,Ireland,BCA_GDP_BP6,Current account balance,Percent of GDP,7.299995893689097
1994-Oct,1994,Oct,1995,ITA,Italy,BCA_GDP_BP6,Current account balance,Percent of GDP,3.441872752194619
